Player,Tm,Pos,G,PassingCmp,PassingAtt,PassingYds,PassingTD,PassingInt,RushingAtt,RushingYds,RushingY/A,RushingTD,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,FumblesFmb,FumblesFL,Scoring2PM,Scoring2PP,Name
Jonathan Taylor,IND,RB,17,0.0,0.0,0.0,0.0,0.0,332.0,1811.0,5.45,18.0,51.0,40.0,360.0,9.0,2.0,4.0,2.0,0.0,0.0,J.Taylor
Cooper Kupp,LAR,WR,17,0.0,1.0,0.0,0.0,0.0,4.0,18.0,4.5,0.0,191.0,145.0,1947.0,13.43,16.0,0.0,0.0,1.0,0.0,C.Kupp
Deebo Samuel,SFO,WR,16,1.0,2.0,24.0,1.0,0.0,59.0,365.0,6.19,8.0,121.0,77.0,1405.0,18.25,6.0,4.0,2.0,0.0,0.0,D.Samuel
Josh Allen,BUF,QB,17,409.0,646.0,4407.0,36.0,15.0,122.0,763.0,6.25,6.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,2.0,1.0,J.Allen
Austin Ekeler,LAC,RB,16,0.0,0.0,0.0,0.0,0.0,206.0,911.0,4.42,12.0,94.0,70.0,647.0,9.24,8.0,4.0,3.0,2.0,0.0,A.Ekeler
Justin Herbert,LAC,QB,17,443.0,672.0,5014.0,38.0,15.0,63.0,302.0,4.79,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,J.Herbert
Tom Brady,TAM,QB,17,485.0,719.0,5316.0,43.0,12.0,28.0,81.0,2.89,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,T.Brady
Mark Andrews,BAL,TE,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,153.0,107.0,1361.0,12.72,9.0,1.0,0.0,2.0,0.0,M.Andrews
Ja'Marr Chase,CIN,WR,17,0.0,0.0,0.0,0.0,0.0,7.0,21.0,3.0,0.0,128.0,81.0,1455.0,17.96,13.0,2.0,1.0,0.0,0.0,J.Chase
Justin Jefferson,MIN,WR,17,2.0,4.0,35.0,0.0,0.0,6.0,14.0,2.33,0.0,167.0,108.0,1616.0,14.96,10.0,1.0,1.0,0.0,0.0,J.Jefferson
Joe Mixon,CIN,RB,16,0.0,0.0,0.0,0.0,0.0,292.0,1205.0,4.13,13.0,48.0,42.0,314.0,7.48,3.0,2.0,1.0,0.0,0.0,J.Mixon
Davante Adams,GNB,WR,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,123.0,1553.0,12.63,11.0,0.0,0.0,0.0,0.0,D.Adams
Patrick Mahomes,KAN,QB,17,436.0,658.0,4839.0,37.0,13.0,66.0,381.0,5.77,2.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0,1.0,P.Mahomes
Najee Harris,PIT,RB,17,0.0,0.0,0.0,0.0,0.0,307.0,1200.0,3.91,7.0,94.0,74.0,467.0,6.31,3.0,0.0,0.0,0.0,0.0,N.Harris
Travis Kelce,KAN,TE,16,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,1.0,134.0,92.0,1125.0,12.23,9.0,1.0,1.0,0.0,0.0,T.Kelce
James Conner,ARI,RB,15,0.0,0.0,0.0,0.0,0.0,202.0,752.0,3.72,15.0,39.0,37.0,375.0,10.14,3.0,2.0,0.0,0.0,0.0,J.Conner
Mike Evans,TAM,WR,16,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,114.0,74.0,1035.0,13.99,14.0,0.0,0.0,0.0,0.0,M.Evans
Aaron Rodgers,GNB,QB,16,366.0,531.0,4115.0,37.0,4.0,33.0,101.0,3.06,3.0,1.0,1.0,-4.0,-4.0,0.0,3.0,0.0,0.0,0.0,A.Rodgers
Tyreek Hill,KAN,WR,17,0.0,0.0,0.0,0.0,0.0,9.0,96.0,10.67,0.0,159.0,111.0,1239.0,11.16,9.0,2.0,1.0,0.0,0.0,T.Hill
Matthew Stafford,LAR,QB,17,404.0,601.0,4886.0,41.0,17.0,32.0,43.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,2.0,M.Stafford
Stefon Diggs,BUF,WR,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,103.0,1225.0,11.89,10.0,1.0,0.0,0.0,0.0,S.Diggs
Ezekiel Elliott,DAL,RB,17,1.0,1.0,4.0,0.0,0.0,237.0,1002.0,4.23,10.0,65.0,47.0,287.0,6.11,2.0,1.0,1.0,3.0,0.0,E.Elliott
Dak Prescott,DAL,QB,16,410.0,596.0,4449.0,37.0,10.0,48.0,146.0,3.04,1.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,2.0,D.Prescott
Nick Chubb,CLE,RB,14,0.0,0.0,0.0,0.0,0.0,228.0,1259.0,5.52,8.0,25.0,20.0,174.0,8.7,1.0,2.0,1.0,0.0,0.0,N.Chubb
Mike Williams,LAC,WR,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,76.0,1146.0,15.08,9.0,0.0,0.0,1.0,0.0,M.Williams
D.K. Metcalf,SEA,WR,17,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,129.0,75.0,967.0,12.89,12.0,1.0,0.0,0.0,0.0,D.Metcalf
Tyler Lockett,SEA,WR,16,0.0,0.0,0.0,0.0,0.0,2.0,9.0,4.5,0.0,107.0,73.0,1175.0,16.1,8.0,0.0,0.0,1.0,0.0,T.Lockett
Damien Harris,NWE,RB,15,0.0,0.0,0.0,0.0,0.0,202.0,929.0,4.6,15.0,21.0,18.0,132.0,7.33,0.0,2.0,2.0,0.0,0.0,D.Harris
Joe Burrow,CIN,QB,16,366.0,520.0,4611.0,34.0,14.0,40.0,118.0,2.95,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,J.Burrow
Diontae Johnson,PIT,WR,16,0.0,0.0,0.0,0.0,0.0,5.0,53.0,10.6,0.0,169.0,107.0,1161.0,10.85,8.0,2.0,2.0,1.0,0.0,D.Johnson
Jalen Hurts,PHI,QB,15,265.0,432.0,3144.0,16.0,9.0,139.0,784.0,5.64,10.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,3.0,J.Hurts
Alvin Kamara,NOR,RB,13,0.0,0.0,0.0,0.0,0.0,240.0,898.0,3.74,4.0,67.0,47.0,439.0,9.34,5.0,0.0,0.0,0.0,0.0,A.Kamara
Antonio Gibson,WAS,RB,16,0.0,0.0,0.0,0.0,0.0,258.0,1037.0,4.02,7.0,52.0,42.0,294.0,7.0,3.0,6.0,4.0,1.0,0.0,A.Gibson
Leonard Fournette,TAM,RB,14,0.0,1.0,0.0,0.0,0.0,180.0,812.0,4.51,8.0,84.0,69.0,454.0,6.58,2.0,1.0,0.0,0.0,0.0,L.Fournette
Dalton Schultz,DAL,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,78.0,808.0,10.36,8.0,0.0,0.0,1.0,0.0,D.Schultz
Cordarrelle Patterson,ATL,RB,16,0.0,1.0,0.0,0.0,0.0,153.0,618.0,4.04,6.0,69.0,52.0,548.0,10.54,5.0,2.0,0.0,0.0,0.0,C.Patterson
George Kittle,SFO,TE,14,0.0,0.0,0.0,0.0,0.0,3.0,20.0,6.67,0.0,94.0,71.0,910.0,12.82,6.0,2.0,1.0,0.0,0.0,G.Kittle
Hunter Renfrow,LVR,WR,17,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,128.0,103.0,1038.0,10.08,9.0,5.0,1.0,0.0,0.0,H.Renfrow
CeeDee Lamb,DAL,WR,16,0.0,0.0,0.0,0.0,0.0,9.0,76.0,8.44,0.0,120.0,79.0,1102.0,13.95,6.0,0.0,0.0,0.0,0.0,C.Lamb
Kyler Murray,ARI,QB,14,333.0,481.0,3787.0,24.0,10.0,88.0,423.0,4.81,5.0,0.0,0.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,K.Murray
Kirk Cousins,MIN,QB,16,372.0,561.0,4221.0,33.0,7.0,29.0,115.0,3.97,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,K.Cousins
Aaron Jones,GNB,RB,15,0.0,0.0,0.0,0.0,0.0,171.0,799.0,4.67,4.0,65.0,52.0,391.0,7.52,6.0,2.0,1.0,0.0,0.0,A.Jones
Keenan Allen,LAC,WR,16,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,106.0,1138.0,10.74,6.0,1.0,0.0,0.0,1.0,K.Allen
Derrick Henry,TEN,RB,8,1.0,1.0,5.0,1.0,0.0,219.0,937.0,4.28,10.0,20.0,18.0,154.0,8.56,0.0,1.0,0.0,1.0,0.0,D.Henry
Michael Pittman Jr.,IND,WR,17,0.0,0.0,0.0,0.0,0.0,5.0,44.0,8.8,0.0,129.0,88.0,1082.0,12.3,6.0,1.0,0.0,1.0,0.0,M.Pittman Jr.
Dalvin Cook,MIN,RB,13,0.0,0.0,0.0,0.0,0.0,249.0,1159.0,4.65,6.0,49.0,34.0,224.0,6.59,0.0,3.0,2.0,1.0,0.0,D.Cook
Josh Jacobs,LVR,RB,15,0.0,0.0,0.0,0.0,0.0,217.0,872.0,4.02,9.0,64.0,54.0,348.0,6.44,0.0,2.0,2.0,0.0,0.0,J.Jacobs
Rob Gronkowski,TAM,TE,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,55.0,802.0,14.58,6.0,0.0,0.0,0.0,0.0,R.Gronkowski
Tee Higgins,CIN,WR,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,74.0,1091.0,14.74,6.0,1.0,1.0,1.0,0.0,T.Higgins
Dawson Knox,BUF,TE,15,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,71.0,49.0,587.0,11.98,9.0,0.0,0.0,0.0,1.0,D.Knox
D.J. Moore,CAR,WR,17,0.0,0.0,0.0,0.0,0.0,8.0,48.0,6.0,0.0,163.0,93.0,1157.0,12.44,4.0,1.0,1.0,1.0,0.0,D.Moore
Chris Godwin,TAM,WR,14,0.0,0.0,0.0,0.0,0.0,4.0,21.0,5.25,1.0,127.0,98.0,1103.0,11.26,5.0,2.0,2.0,0.0,0.0,C.Godwin
Hunter Henry,NWE,TE,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,50.0,603.0,12.06,9.0,0.0,0.0,0.0,0.0,H.Henry
Melvin Gordon,DEN,RB,16,0.0,0.0,0.0,0.0,0.0,203.0,918.0,4.52,8.0,38.0,28.0,213.0,7.61,2.0,3.0,3.0,0.0,0.0,M.Gordon
Jaylen Waddle,MIA,WR,16,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,1.0,140.0,104.0,1015.0,9.76,6.0,2.0,1.0,0.0,0.0,J.Waddle
Brandin Cooks,HOU,WR,16,0.0,0.0,0.0,0.0,0.0,2.0,21.0,10.5,0.0,134.0,90.0,1037.0,11.52,6.0,0.0,0.0,0.0,0.0,B.Cooks
